Name,Distance,Mass,Radius,Constellation,Rightascension,Declination,App.mag.,Spectraltype,Brown dwarf,Orbitalperiod,Semimajoraxis,Ecc.,Discovery year,Link
15 sagittae,57.7,0.06204822,,Sagitta,20h 04m 06s,+17° 04′ 13″,5.8,G1V,B,,14,,2002,https://en.wikipedia.org/wiki/15_Sagittae
2mass j0523-1403,40.3,6.682116000000001e-05,8.2094568e-05
54 piscium,36.1,0.050593164,,Pisces,00h 39m 22s,+21° 15′ 02″,5.88,K0V,B,,476,,2006,https://en.wikipedia.org/wiki/54_Piscium
54 piscium,36.1,0.0007254868800000001,0.00089731272
61 cygni,11.41,0.0006682116,0.0006348010200000001
81 cancri,66,,,Cancer,9 h 12 m 14.69s,14°  59 ′  39.6″,6.77,L8,CD,,,,2007,https://en.wikipedia.org/wiki/81_Cancri
ab pictoris,66.6,0.012886938,,Pictor,06h  19s,−58° 03′ 15″,9.16,K2V,b,,275,,2005,https://en.wikipedia.org/wiki/AB_Pictoris
achernar,144,0.0063957396,0.0088776684
acrux,320,0.017182584,0.0084958332
adhara,430,0.01193235,0.013364232
aldebaran,65,0.001431882,0.042001872
alhena,109,0.0026728464,0.0031501403999999998
alioth,81,0.0027683052,0.0040092696
alkaid,104,0.0058229868,0.0032455992
almaaz,653,0.014318820000000001,0.13364232
alnair,101,0.003818352,0.0032455992
alnilam,"2,000",0.030546816,0.040092696000000004
alnitak,1050,0.031501404000000004,0.01909176
alpha centauri,4.4,0.0010500468,0.0011455056
alphard,180,0.002863764,0.0477294
alsephina[2],80,0.0022910112,0.0027683052
altair,17,0.0017182584,0.0017182584
antares,600,0.011455056,0.64911984
arcturus,37,0.0010500468,0.024819288000000002
atria,390,0.006682116,0.087822096
avior,630,0.008591292,0.12409644
barnard's star,5.98,0.00013364232000000003,0.00019091760000000002
bd−04°782,66.6,0.020046348000000002,,Eridanus,04h 15m 10s,–04° 25′ 06″,9.39,K5V,b,240.92,0.7,0.28,1996,https://en.wikipedia.org/w/index.php?title=BD-04%C2%B0782&action=edit&redlink=1
bellatrix,240,0.0082094568,0.0055366104
betelgeuse,640,0.01909176,0.9068586000000001
canopus,310,0.014318820000000001,0.067775748
capella,43,0.0024819288000000003,0.011455056
castor,52,0.0026728464,0.0022910112
cd−33°7795,163.08,0.01909176,,Hydra,11h 31m 55s,–34° 36′ 17″,11.37,M1,b,,100,,1998,https://en.wikipedia.org/w/index.php?title=CD-33%C2%B07795&action=edit&redlink=1
